iter	RMSE
29	8.040736294
535	3.864498444
695	3.539800465
557	3.808881326
836	3.284565611
596	3.727342596
165	4.932051543
918	3.159327058
495	3.943076488
824	3.307321505
65	5.820630862
141	5.048376474
925	3.151635144
827	3.30201994
655	3.619125665
331	4.348209927
664	3.600492392
249	4.624691756
907	3.176377564
708	3.516856405
305	4.418936667
734	3.465776156
975	3.074005935
49	6.416481395
896	3.195838544
2	13.8866124
544	3.847083414
350	4.30293809
904	3.181264554
536	3.861416322
344	4.312713628
994	3.050890374
481	3.969938254
575	3.773711943
33	7.60645267
31	7.809589039
231	4.672710726
963	3.096240186
192	4.816686395
333	4.34237339
3	13.52356875
204	4.77023101
514	3.904527401
799	3.349110856
306	4.416887976
109	5.224267141
430	4.079840652
77	5.572393026
84	5.480745463
286	4.489330245
82	5.504975022
991	3.055810414
789	3.366710398
894	3.200485067
398	4.167804808
323	4.37098897
519	3.896426119
916	3.163311455
922	3.153261317
5	12.9124226
731	3.468643292
465	3.997483319
97	5.331515983
266	4.571326203
357	4.284566905
868	3.237848782
798	3.349589624
380	4.216356207
631	3.660871366
381	4.214326494
490	3.951486786
118	5.166257212
900	3.188364239
250	4.621840053
523	3.891738985
9	11.77309809
196	4.80251613
603	3.719436563
81	5.511746977
783	3.374195887
587	3.748237465
797	3.350985986
239	4.653242871
290	4.471581298
211	4.744163298
717	3.496291169
359	4.276938023
449	4.03368231
227	4.687919514
950	3.116343362
946	3.122182662
796	3.354592969
501	3.930091193
464	3.999811484
362	4.265565857
468	3.994131111
935	3.137824183
428	4.087845355
7	12.32990573
155	4.979003494
541	3.852379816
440	4.051377267
482	3.968211434
422	4.103390131
778	3.383842366
949	3.118203218
334	4.340814362
576	3.772415806
934	3.139025283
567	3.794312041
594	3.733026392
530	3.875854201
581	3.758155662
707	3.518641591
448	4.036372284
453	4.028173412
228	4.682982074
352	4.294768408
728	3.471209164
212	4.736670896
79	5.541518902
148	5.008962367
302	4.427666256
628	3.664214007
777	3.385072258
506	3.920333743
342	4.31973724
485	3.961319703
711	3.512617621
133	5.085258329
703	3.527200815
311	4.404593827
722	3.486303638
629	3.66261643
0	14.59871775
316	4.389213061
706	3.522260582
547	3.840996474
872	3.232434885
532	3.871583368
477	3.983263928
404	4.149562679
172	4.896816173
125	5.128536065
394	4.176341157
420	4.110343455
552	3.820068862
903	3.183725321
90	5.400691499
939	3.131434124
181	4.858673056
274	4.540620977
895	3.197467568
69	5.722315217
291	4.469164956
131	5.095814182
300	4.435017051
424	4.093431279
326	4.360770706
144	5.03230489
423	4.096724402
580	3.760761708
135	5.076476829
450	4.032439519
164	4.935330572
28	8.162193833
773	3.396229831
193	4.814797121
388	4.196934403
852	3.258389147
169	4.910365386
705	3.522729934
140	5.050254
173	4.891123132
6	12.60003351
745	3.443264164
478	3.980067202
73	5.642381613
910	3.170421012
813	3.326308994
238	4.657656705
145	5.025976187
792	3.362001759
234	4.664241291
220	4.710563974
923	3.153168454
500	3.934522727
132	5.092146915
990	3.056336579
774	3.394002836
185	4.845691673
41	6.931862224
696	3.53953187
108	5.232684032
588	3.746021536
56	6.100525536
405	4.149327961
442	4.047099198
757	3.420845924
997	3.047155483
24	8.690548059
467	3.995860263
539	3.858521278
531	3.873189396
618	3.690900932
694	3.542962896
926	3.147762655
338	4.328507238
51	6.325678067
507	3.918659461
516	3.902170135
920	3.157086603
781	3.377371219
264	4.57457145
817	3.320434271
710	3.514671214
682	3.564824621
832	3.290284404
518	3.897497505
447	4.036860137
18	9.690174082
715	3.501367208
483	3.966113368
568	3.792205926
433	4.067460475
367	4.250216667
83	5.493980522
61	5.933729724
638	3.650612844
272	4.549383848
285	4.494692643
360	4.273425094
354	4.292551604
456	4.017384838
278	4.521572155
12	11.04260393
182	4.854036207
368	4.24514828
881	3.21982781
615	3.696182221
223	4.702501831
572	3.781700331
970	3.085866843
653	3.622342639
545	3.845397429
582	3.756844548
633	3.654497801
176	4.880659728
665	3.597171065
673	3.585102746
585	3.751398464
873	3.229978115
393	4.178283162
163	4.938545759
248	4.62729814
634	3.654189134
885	3.213470696
669	3.592238714
375	4.226169067
412	4.133773523
74	5.621404779
113	5.196937641
598	3.723158842
961	3.09863569
390	4.190243116
104	5.271789139
114	5.190746047
417	4.119422508
525	3.883837053
457	4.016468229
409	4.141691034
92	5.380766572
930	3.143466218
89	5.412331217
336	4.335430786
988	3.058175919
921	3.153354154
933	3.139390417
605	3.71443396
593	3.733527479
611	3.708668039
94	5.362918837
11	11.26264833
396	4.175564513
533	3.869622679
43	6.786268161
42	6.858296558
329	4.353773425
167	4.922860227
497	3.940251541
876	3.226258869
597	3.725459604
756	3.422752979
100	5.30685627
426	4.091192901
178	4.874038772
444	4.042822379
416	4.12413494
870	3.233378068
882	3.216693405
680	3.571076482
177	4.877299723
395	4.176041504
911	3.170087224
793	3.361580401
960	3.101469264
684	3.561226889
383	4.211331091
956	3.107149851
751	3.430150302
257	4.600750354
538	3.859328725
335	4.339707068
15	10.31918115
324	4.367418484
758	3.418917862
222	4.70408351
179	4.86943698
983	3.063186837
22	9.010299969
356	4.287802767
666	3.594358798
861	3.249151075
340	4.323785636
431	4.075707828
551	3.823502399
833	3.288285745
203	4.775772178
630	3.662118449
93	5.372207183
558	3.808740434
68	5.747073912
622	3.680640153
284	4.501550352
844	3.273569958
434	4.064914749
153	4.986908764
75	5.602460129
730	3.469078654
446	4.040044254
188	4.834602161
271	4.55629209
236	4.658668443
487	3.958913633
117	5.170991438
943	3.125409666
512	3.90792379
825	3.306759087
591	3.736021611
126	5.123300353
116	5.178293568
473	3.986393291
693	3.543313763
57	6.062568564
863	3.243826471
912	3.167303059
369	4.244015772
268	4.565766631
46	6.589686076
349	4.30350134
195	4.804813432
999	3.042664195
834	3.286662667
736	3.45965637
263	4.577555199
443	4.044348685
675	3.581407561
304	4.422588771
341	4.320632534
966	3.093182279
149	5.003880266
124	5.134276023
786	3.371565136
50	6.369870822
353	4.294581479
927	3.147172317
142	5.042603751
470	3.992954084
399	4.165860548
625	3.672200976
320	4.378387619
19	9.506034866
809	3.332186769
790	3.364598042
808	3.333252703
407	4.147254809
537	3.860265769
620	3.685491894
38	7.143477682
175	4.885259712
245	4.635062318
828	3.299302297
667	3.593945251
754	3.425200309
858	3.252845542
154	4.985207175
287	4.484826955
602	3.720215334
569	3.788991061
743	3.445646714
17	9.894556723
127	5.116200518
322	4.374600202
255	4.604771557
657	3.616207429
964	3.094838828
190	4.827590511
115	5.181885213
616	3.694263278
606	3.712938941
180	4.861268711
301	4.429962125
759	3.417095735
712	3.510747971
723	3.486035862
685	3.559383467
979	3.069724506
517	3.899435429
984	3.062880371
45	6.652948106
909	3.171242379
157	4.967056696
851	3.260456253
171	4.901996508
16	10.10004441
511	3.910034145
48	6.471368031
971	3.082669094
940	3.128384262
515	3.903378283
952	3.112607903
480	3.972661644
283	4.505805643
718	3.49330374
877	3.225331995
225	4.695346302
26	8.413851302
954	3.110249676
437	4.054120355
951	3.11480829
364	4.259185148
229	4.679578702
37	7.223863468
965	3.094176802
374	4.227381215
469	3.993125499
967	3.090150687
850	3.2618983
704	3.523459911
841	3.276316385
194	4.811639392
854	3.256424936
864	3.243190653
503	3.927280041
969	3.087153684
830	3.296976183
579	3.763976102
968	3.088612829
162	4.943228639
908	3.174078182
152	4.99005752
801	3.34397474
993	3.053331734
755	3.423383783
111	5.211102527
226	4.689769299
688	3.552300968
103	5.27993346
421	4.105604544
419	4.116067631
750	3.431786753
586	3.749920103
780	3.378595218
672	3.586070865
119	5.161421246
53	6.224773967
151	4.993361683
403	4.15197457
945	3.122921099
207	4.758053283
658	3.61206486
843	3.27499628
762	3.411976013
8	12.0660619
807	3.336708453
